Page,Row,Line,NO.,Category,Level,City,Height,Chest,Waist,Hips,Suit,Shoes,Skin,Eyes,Hair,advertisement,popularity
58,1,1,B210326,广告模特,3,大连,172,86,60,89,42,37,白色,褐色,長发,,0
58,1,2,F610329,人体模特,3,武汉,165,80,62,85,0,37,黄色,黑色,長发,,0
58,1,3,B210331,广告模特,3,深圳,182,112,115,102,94,41,黄色,黑色,中发,香水拍摄，服装平面海报,0
58,1,4,A110332,时装模特,3,北京,179,84,60,90,42,39,白色,黑色,長发,,0
58,2,1,B210300,广告模特,3,北京,168,82,60,87,38,38,黄色,黑色,長发,为化妆品做过代言 为杂志拍摄过妆容 为皮草拍摄过画册 为网站做过宣传,0
58,2,2,B210438,广告模特,3,珠海,174,85,60,90,37,38,黄色,黑色,長发,2003婚紗MD 2008元麗禾平面MD 2009護膚品平面MD 2009化妝品平面MD 2009眼鏡雜志MD 2009電子美食雜志MD 2007-2009Paul視覺影像平面MD 2008-2009Atu視覺影像平面MD 09年，韩国服装有限公司长期合作模特 09年米闌婚纱样本册御用模特 2010年深圳金夫人婚纱拍摄样册模特 2010欧美大牌服装签约模特 2010一服饰品服装公司拍摄模特 2010世界杯足球服饰拍摄模特 2010RIP服饰拍摄签约模特 2010淘寶網店日系服飾模特 2010年女人杂志插图拍摄模特 09年伊拉**韩服合作服装模特 09年卡**服装有限公司长期合作模特 09年美**服装有限公司长期合作模特 2010年wayika服装公司签约模特 2010年深圳欧美传媒服装公司御用服装模特 2010*****浴具产品平面拍摄模特 2010世纪新娘婚纱样片拍摄模特 2010年多家服装网址的拍摄模特 2010玛芝琳服饰签约模特 2010AIRFA 台湾艾而法试衣模特,0
58,2,3,N1410456,网拍模特,3,武汉,1.83,24,98,106,48,44,黄色,黑色,直发,,0
58,2,4,A110483,时装模特,3,上海,175,84,60,88,39,38,黄色,黑色,長发,,0
58,3,1,B210486,广告模特,3,北京,177,83,60,88,40,39,黄色,黑色,長发,,0
58,3,2,A110488,时装模特,3,淄博,174,85,68,89,38,38,黄色,黑色,長发,,0
58,3,3,A110489,时装模特,3,广州,175,84,60,88,39,39,黄色,黑色,長发,格兰仕微波炉广告 佛山顺德农村商业银行广告 和平面 橡果国际瘦身魔豆广告 健力宝饮料广告 两面针牙膏广告 KAKA魔塑鞋广告 龟苓宝饮料广告,0
